time,force_r_x,force_r_y,cop_r_x,force_l_x,force_l_y,cop_l_x
1.87,-3.554185716406776,3.544206763438004,0.1209194742048034,60.26836744237751,989.6237949914964,-0.0854193107179165
1.88,-4.041765462786983,4.0318010437619085,0.1352926054844698,71.98180012357653,1010.154325936803,-0.0962674000370456
1.89,-4.885426657157735,4.875500833544844,0.1450396571609755,83.47943474959959,1027.3738603111965,-0.1070945134548462
1.9,-6.39175532424233,6.381969597943578,0.1486970389675475,95.75208271888415,1041.5358162715504,-0.1177722275026544
1.91,-8.95807988774083,8.949315387060953,0.1463294586464904,108.6021531126174,1051.7651706996196,-0.1282855506623732
1.92,-7.628758154993975,20.39551220774056,0.1781232157699118,133.7135439707773,1054.497134531014,-0.1471503781354221
1.93,12.380944709648688,48.74307212414704,0.2094002276726239,147.37513247352487,1043.0460349052703,-0.1569307111558668
1.94,25.1609584811072,115.21368743187944,0.1910542773140462,160.85596396555047,1018.875431565556,-0.1662660505124871
1.95,28.927131012212897,197.4249516035703,0.1726956475618797,173.77509019098372,978.5104807821984,-0.1749688093324601
1.96,16.53762005840674,293.74910380141495,0.1541051527144605,184.19704645432904,919.0186508479278,-0.1829605255983016
1.97,-9.901490260326677,387.7653205438795,0.1405135626659513,189.04656574727773,839.2573001908495,-0.1903003847677833
1.98,-36.55654487574379,494.59860749195633,0.1453168294177311,186.7528807763443,738.4802315199361,-0.1968285350073214
1.99,-66.4836218118014,605.4703532914617,0.1628500635525254,174.2461872265126,620.1476175912907,-0.2028290206682135
2.0,-93.53487931687752,691.7895726976334,0.1753819271310455,150.5950367531907,489.7988667208789,-0.2087263552053838
2.01,-114.12178555036849,773.6869413832225,0.1877769384413088,116.03687497625062,361.9446544484944,-0.2168841374253643
2.02,-130.07978411626297,845.8288667061936,0.1963887760098293,74.84200269647724,244.11214193234864,-0.2301950709349829
2.03,-140.97043172249892,904.5939952941166,0.1990788339955894,28.19967881482216,110.47105801193928,-0.3264682675293319
2.04,-145.96843322988585,955.3038416330802,0.19507845145843,-3.5936367006167704,3.605150129018838,-0.413542067213143
2.05,-147.38853871689355,1000.402298321402,0.1865747143252047,-0.5385670983402778,0.5486254385294543,-0.3091682405160167
2.06,-145.11954697364925,1037.934117752336,0.1751571373479958,-0.0673834263524099,0.0773913167490816,-0.3034516644344018
2.07,-139.2011667971123,1065.273344685586,0.1630240411183552,0.0666185770804581,-0.0566179049922635,-0.2971438743063378
2.08,-131.7511301923653,1081.398981244953,0.1516992273825125,0.1160190992833019,-0.1060201028872274,-0.2900363120501496
2.09,-123.04270688270616,1086.0607951897257,0.1414325126762589,0.1233407885800111,-0.1133421490591522,-0.2820001209652137
2.1,-113.35936984591444,1079.727386758701,0.133238972539669,0.1054000904225021,-0.0954014286398876,-0.2730382694739339
2.11,-103.5510661567894,1060.1227011011242,0.1283257233567163,0.0525775942045541,-0.0425785728432315,-0.2630287299343269
2.12,-94.10569473075604,1032.5975664682232,0.1289766751484638,-0.0370673399067863,0.0470669485309264,-0.2518488559678603
2.13,-85.34591257551217,999.6596355566212,0.1359939440675487,-0.1391624321138068,0.1491625792299308,-0.2395300599257026
2.14,-77.26302945099467,962.448564898644,0.1407471774260697,-0.2576835247132735,0.2676842168546735,-0.2260212275432371
2.15,-70.03033264829304,930.1972140301834,0.1354451679231388,-0.3923904951094066,0.4023917280389614,-0.2112763349691273
2.16,-61.5900142043035,899.8056416886079,0.1253947727260376,-0.5422936767160039,0.5522954288480246,-0.1952689476585115
2.17,-53.89789318238954,871.2608297123194,0.1143291138854393,-0.702240457247075,0.7122426627138437,-0.1780731241420892
2.18,-47.03566395685185,846.3941071052682,0.102971850931803,-0.923446964485632,0.9334498028835756,-0.1594576840182702
2.19,-41.398563207683864,826.1507812395133,0.0914318735648022,-1.171644283037887,1.181647716165937,-0.2217830205201462
2.2,-36.89772893356731,811.0182010317972,0.0797773278290595,-1.5341974017053628,1.544201655761376,-0.2005037384769528
2.21,-32.49244708065657,801.0665290153397,0.0681268865164777,-1.9956290517414872,2.005634255446525,-0.1643447781121096
2.22,-29.24612545112717,796.0480956513404,0.0563686200149699,-2.7416070868526297,2.751613886233093,-0.1259661437608757
2.23,-25.829421036180015,795.4866990164018,0.0446515907950623,-3.774267105074699,3.784276099169832,-0.0854642580914081
2.24,-21.776968188416376,799.1084424696211,0.0330072729696114,-5.657880772287534,5.667893820618899,-0.0425821477209538
2.25,-17.833365409929186,806.5751790984369,0.0213634117618383,-8.98969824827126,8.999718410243785,0.0022502519926203
2.26,-12.19852875215247,817.1790684713693,0.0099191779074184,-10.682626208136458,10.692649825846592,0.0456072861691641
2.27,-7.060728861572212,831.4809375630144,-0.0015647311741832,-9.00053597662503,9.01055574378622,0.0836966887335238
2.28,-0.5519366257757728,849.1874203876914,-0.0128978064482998,-5.65094537613524,5.660958066545782,0.1064831016222591
2.29,6.829655433516956,868.1215135370817,-0.0241474774782046,-3.2605072550740517,3.2705148893216576,0.0996532616371973
2.3000000000000003,14.515988058106716,888.5256911115973,-0.0353748472728981,-2.469691911241714,2.4796980934922677,0.075925773187981
2.31,22.502166209671593,910.3432930118096,-0.0465880583006897,-2.484458291832659,2.494465150024483,0.0699204277379133
2.32,32.42091919892799,932.7999910930934,-0.0576199130110992,-2.72007052208806,2.7300792017966753,0.0781028897013372
2.33,43.63017815013761,955.2397280044814,-0.0685347104797789,-3.028959692550942,3.038971484942609,0.0937680700858971
2.34,54.473723100289824,977.432745762432,-0.0794951736527396,-3.4094524381755007,3.419469642485505,0.1098190161935531
2.35,65.11854043402008,998.750683805502,-0.0904633065455176,-3.84530057552848,3.8553282133002407,0.126342885972092
2.36,76.54542407407791,1017.6991465258018,-0.1013216522382953,-4.510650911124838,4.520702916962497,0.1389568127689269
2.37,88.65847174755119,1033.5848226893957,-0.1120563746939007,-5.610333506792228,5.620457543216859,0.1464480807070297
2.38,101.227130164027,1046.1218866517556,-0.122660569025313,-7.4907003091606015,7.50112929676809,0.1479543146189396
2.39,114.49714658761852,1053.809918941363,-0.1330680765579393,-10.794119256932005,10.80741790281792,0.143227429149321
